name,amenity,leisure,tourism,latitude,longitude
Fryderyk Chopin,,,artwork,50.0593233,19.9340281
Kopiec Piłsudskiego,,,viewpoint,50.06005,19.8471666
Smok Wawelski,,,artwork,50.0530165,19.9335881
Kopiec Krakusa,,,viewpoint,50.0380822,19.958435
Merkury,,,artwork,50.0649411,19.9406793
Muzeum Farmacji UJ,,,museum,50.0632264,19.9403302
Muzeum Uniwersytetu Jagiellońskiego,,,museum,50.0615617,19.9337367
Pałac Krzysztofory,,,museum,50.0627747,19.936496
Kamienica Szołayskich,,,museum,50.0633496,19.935964
,,,artwork,50.0612874,19.9355003
Teatr Groteska,theatre,,,50.0631883,19.9265845
Muzeum Przyrodnicze PAN,,,museum,50.0554747,19.9415137
Scena El-Jot,theatre,,,50.0523564,19.9438045
Centrum Kultury Żydowskiej,arts_centre,,,50.0513734,19.9443835
Żydowskie Muzeum Galicja,,,museum,50.0508571,19.9496775
Muzeum Etnograficzne,,,museum,50.0486624,19.9434852
Gorzko Gorzko,nightclub,,,50.0641583,19.9363632
Bunkier Sztuki,,,museum,50.0635805,19.9344469
Slot Club,casino,,,50.0636209,19.9346281
The Legends,nightclub,,,50.0634887,19.9347486
Big Bull,nightclub,,,50.0617962,19.9355742
Piwnica Pod Baranami,theatre,,,50.0616022,19.9353977
Międzynarodowe Centrum Kultury,community_centre,,,50.0611897,19.9356568
Teatr 38,theatre,,,50.0608041,19.9382486
Frantic Club,nightclub,,,50.0623304,19.935688
Shakers,nightclub,,,50.0623201,19.9356875
"Przychodnia Towarzyska ""Rewolucja""",nightclub,,,50.0629131,19.9342159
"Galeria Sztuki ""Pod Złotym Lewkiem""",arts_centre,,gallery,50.062918,19.9337436
Jan Fejkiel Gallery,,,gallery,50.0639096,19.9375955
Rust,nightclub,,,50.0640715,19.938098
Społem Deluxe,nightclub,,,50.0644129,19.94135
Art Gallery 36,,,gallery,50.0643231,19.9408221
Jazz Club U Muniaka,nightclub,,,50.0621882,19.9395855
Stalowe Magnolie,nightclub,,,50.0620917,19.9405662
Galeria Nautilus,,,gallery,50.0652135,19.9380022
,,,viewpoint,50.0534981,19.9333361
Cinema City Kraków - Galeria Kazimierz,cinema,,,50.0534233,19.9543024
Teatr Łaźnia Nowa,theatre,,,50.0781895,20.0479573
Ośrodek Kultury im. Cypriana Kamila Norwida,arts_centre,,,50.0797896,20.0363605
Kino Studyjne Sfinks,cinema,,,50.0797129,20.036472
Muzeum Czynu Zbrojnego,,,museum,50.0815422,20.0364942
Apteka Pod Orłem,,,museum,50.0462364,19.9541481
Fitness Klub,,sports_centre,,50.0265963,19.9145075
Okno Papieskie,,,attraction,50.0594822,19.935167
Rynek Podziemny,,,museum,50.061996,19.9377745
Wild Power Gym,,fitness_centre,,50.0793874,20.019389
Teatr Ludowy - Scena Stolarnia,theatre,,,50.0802195,20.0321366
,,sports_centre,,49.9922648,19.9321807
Krakowskie Forum Kultury,arts_centre,,,50.0616883,19.940767
Krakowskie Studio Formy,,sports_centre,,50.0175195,19.8970767
Muzeum Archidiecezjalne,,,museum,50.0560885,19.9371042
Pałac Biskupa Erazma Ciołka,,,museum,50.0563019,19.9372228
Józef Dietl,,,attraction,50.059086,19.936759
,,sports_centre,,50.0330561,19.9690069
,,,viewpoint,50.055755,19.8943298
Centrum Sportu i Rekreacji Politechniki Krakowskiej,,sports_centre,,50.0763045,19.9957139
Lokomotywa AGH Ty2-559,,,attraction,50.0673537,19.9173564
Międzyszkolny Ośrodek Sportowy,,sports_centre,,50.0761014,20.0344564
Kompleks Rekreacyjny Comarch,,sports_centre,,50.0801338,19.9930875
Teatr Praska 52,arts_centre,,,50.0463067,19.9107841
Młyn,,sports_centre,,50.0640125,19.9278938
Mikro,cinema,,,50.0695341,19.9238098
In Time,,fitness_centre,,50.073813,19.9175944
Krakowski Park Linowy,,sports_centre,,50.036089,19.8809568
Fitness Platinium Zachodnia KKF,,sports_centre,,50.026082,19.9047951
Combinator ExitGame,,escape_game,,50.0481819,19.9403066
Schron dla broni maszynowej Olszanica,,,attraction,50.0671611,19.8387496
